filename,width,height,class,xmin,ymin,xmax,ymax
multiple_object (1).jpg,300,300,metal,83,112,147,190
multiple_object (1).jpg,300,300,metal,170,125,218,191
multiple_object (10).jpg,300,300,metal,126,124,290,247
multiple_object (10).jpg,300,300,plastic,20,109,108,182
multiple_object (100).jpg,300,300,glass,154,53,245,88
multiple_object (100).jpg,300,300,glass,78,36,156,87
multiple_object (100).jpg,300,300,plastic,121,188,164,214
multiple_object (101).jpg,300,300,glass,112,63,142,149
multiple_object (101).jpg,300,300,glass,163,187,202,262
multiple_object (102).jpg,300,300,plastic,99,90,153,130
multiple_object (102).jpg,300,300,plastic,82,231,123,283
multiple_object (103).jpg,300,300,bottle,24,110,119,148
multiple_object (103).jpg,300,300,plastic bottle,21,108,123,153
multiple_object (103).jpg,300,300,plastic bottle,109,76,268,168
multiple_object (103).jpg,300,300,plastic bottle,190,159,264,215
multiple_object (103).jpg,300,300,plastic bottle,112,187,226,238
multiple_object (103).jpg,300,300,plastic bottle,4,183,185,232
multiple_object (103).jpg,300,300,plastic,187,172,219,201
multiple_object (103).jpg,300,300,plastic,1,200,15,228
multiple_object (104).jpg,300,300,plastic bottle,129,33,177,70
multiple_object (104).jpg,300,300,plastic,146,212,162,229
multiple_object (105).JPG,300,300,glass,71,100,116,145
multiple_object (105).JPG,300,300,glass,47,110,85,160
multiple_object (105).JPG,300,300,plastic bottle,189,137,235,161
multiple_object (105).JPG,300,300,glass,283,128,300,177
multiple_object (106).JPG,300,300,plastic bottle,114,133,159,161
multiple_object (106).JPG,300,300,plastic bottle,123,159,178,186
multiple_object (106).JPG,300,300,plastic,155,121,175,155
multiple_object (107).JPG,300,300,metal,161,214,176,248
multiple_object (107).JPG,300,300,plastic,167,237,184,260
multiple_object (107).JPG,300,300,plastic,129,250,173,292
multiple_object (107).JPG,300,300,plastic,140,225,163,254
multiple_object (108).JPG,300,300,plastic,131,126,164,155
multiple_object (108).JPG,300,300,plastic bottle,172,164,199,191
multiple_object (108).JPG,300,300,plastic bottle,123,256,146,275
multiple_object (109).JPG,300,300,plastic bottle,56,75,143,137
multiple_object (109).JPG,300,300,metal,109,134,167,195
multiple_object (11).jpg,300,300,plastic bottle,34,128,139,257
multiple_object (11).jpg,300,300,plastic bottle,119,33,199,230
multiple_object (11).jpg,300,300,plastic bottle,206,22,300,191
multiple_object (110).JPG,300,300,plastic,163,78,224,130
multiple_object (110).JPG,300,300,plastic,95,111,125,150
multiple_object (111).JPG,300,300,plastic,94,88,150,166
multiple_object (111).JPG,300,300,plastic,197,201,241,262
multiple_object (112).JPG,300,300,plastic bottle,43,151,88,227
multiple_object (112).JPG,300,300,plastic,58,222,77,238
multiple_object (112).JPG,300,300,plastic,258,206,270,270
multiple_object (113).JPG,300,300,metal,142,165,193,224
multiple_object (113).JPG,300,300,paper,114,46,246,152
multiple_object (114).JPG,300,300,plastic,180,78,241,138
multiple_object (114).JPG,300,300,plastic,128,116,157,161
multiple_object (115).JPG,300,300,metal,120,114,150,145
multiple_object (115).JPG,300,300,metal,149,94,178,128
multiple_object (115).JPG,300,300,glass,112,48,151,104
multiple_object (115).JPG,300,300,plastic,187,97,237,198
multiple_object (115).JPG,300,300,cardboard,97,145,180,239
multiple_object (115).JPG,300,300,cardboard,192,26,286,124
multiple_object (116).JPG,300,300,metal,93,74,121,126
multiple_object (116).JPG,300,300,metal,59,84,93,130
multiple_object (116).JPG,300,300,metal,62,106,107,176
multiple_object (116).JPG,300,300,metal,71,154,108,218
multiple_object (116).JPG,300,300,metal,144,76,169,133
multiple_object (116).JPG,300,300,metal,173,75,196,122
multiple_object (116).JPG,300,300,metal,186,63,205,115
multiple_object (116).JPG,300,300,metal,205,88,226,139
multiple_object (116).JPG,300,300,metal,202,70,227,115
multiple_object (116).JPG,300,300,metal,224,97,238,129
multiple_object (116).JPG,300,300,plastic,199,16,275,122
multiple_object (116).JPG,300,300,plastic,38,129,57,176
multiple_object (116).JPG,300,300,plastic bottle,39,151,74,246
multiple_object (117).JPG,300,300,cardboard,52,71,113,145
multiple_object (117).JPG,300,300,cardboard,106,90,175,231
multiple_object (117).JPG,300,300,cardboard,171,90,226,150
multiple_object (118).JPG,300,300,plastic bottle,84,181,125,210
multiple_object (118).JPG,300,300,glass,181,143,230,189
multiple_object (118).JPG,300,300,plastic,234,86,250,102
multiple_object (118).JPG,300,300,plastic,172,92,194,109
multiple_object (118).JPG,300,300,plastic,139,31,158,58
multiple_object (119).JPG,300,300,metal,52,170,102,200
multiple_object (119).JPG,300,300,metal,142,163,188,195
multiple_object (119).JPG,300,300,plastic bottle,100,58,200,133
multiple_object (119).JPG,300,300,glass,45,21,171,64
multiple_object (12).jpg,300,300,plastic bottle,24,33,147,245
multiple_object (12).jpg,300,300,plastic bottle,152,40,265,272
multiple_object (120).JPG,300,300,paper,53,134,84,175
multiple_object (120).JPG,300,300,plastic,51,162,75,194
multiple_object (120).JPG,300,300,plastic,101,195,135,217
multiple_object (120).JPG,300,300,plastic,1,107,14,136
multiple_object (120).JPG,300,300,plastic,78,29,106,46
multiple_object (120).JPG,300,300,plastic,49,1,70,28
multiple_object (120).JPG,300,300,plastic,4,37,26,58
multiple_object (120).JPG,300,300,metal,266,141,289,157
multiple_object (121).JPG,300,300,plastic bottle,86,68,154,111
multiple_object (121).JPG,300,300,plastic bottle,227,234,261,300
multiple_object (122).JPG,300,300,plastic,53,106,125,184
multiple_object (122).JPG,300,300,glass,117,131,131,168
multiple_object (122).JPG,300,300,plastic bottle,134,122,161,162
multiple_object (123).JPG,300,300,plastic,126,169,149,181
multiple_object (123).JPG,300,300,plastic,108,200,132,210
multiple_object (123).JPG,300,300,plastic,170,137,190,151
multiple_object (123).JPG,300,300,plastic,148,130,163,149
